,text
32,Powered by SAS: threat hunting and new techniques Dmitry BestuzhevCostin RaiuPierre DelcherBrian BartholomewBoris LarinAriel JungheitFabio AssoliniFrom the same authors APT trends report Q1 2021  APT10: sophisticated multi-layered loader Ecipekac discovered in A41APT campaign  APT annual review: What the world’s threat actors got up to in 2020  Cyberthreats to financial organizations in 2021  Advanced Threat predictions for 2021 Subscribe to our weekly e-mailsThe hottest research right in your inboxEmail**I agree to provide my email address to “AO Kaspersky Lab” to receive information about new posts on the site.
33,I understand that I can withdraw this consent at any time via e-mail by clicking the “unsubscribe” link that I find at the bottom of any e-mail sent to me for the purposes mentioned above.
34,"SubscribeΔIn the same category HrServ – Previously unknown web shell used in APT attack  Modern Asian APT groups’ tactics, techniques and procedures (TTPs)  A cascade of compromise: unveiling Lazarus’ new campaign  How to catch a wild triangle  StripedFly: Perennially flying under the radar  Latest Posts Malware descriptionsCracked software beats gold: new macOS backdoor stealing cryptowallets Sergey Puzan Kaspersky Security BulletinDark web threats and dark market predictions for 2024 Sergey LozhkinAnna PavlovskayaKaspersky Security Services ResearchA lightweight method to detect potential iOS malware Maher Yamout ResearchOperation Triangulation: The last (hardware) mystery Boris LarinLatest Webinars Technologies and services												11 Dec 2023, 4:00pm					60 minThe Future of AI in cybersecurity: what to expect in 2024Vladimir DashchenkoVictor SergeevVladislav TushkanovDennis Kipker Threat intelligence and IR												30 Nov 2023, 4:00pm					70 minResponding to a data breach: a step-by-step guideAnna Pavlovskaya Cyberthreat talks												14 Nov 2023, 4:00pm					60 min2024 Advanced persistent threat predictionsIgor KuznetsovDavid EmmMarc RiveroDan DemeterSherif Magdy Cyberthreat talks												09 Nov 2023, 5:00pm					60 minOverview of modern car compromise techniques and methods of protectionAlexander KozlovSergey AnufrienkoReportsHrServ – Previously unknown web shell used in APT attack In this report Kaspersky researchers provide an analysis of the previously unknown HrServ web shell, which exhibits both APT and crimeware features and has likely been active since 2021."
35,"Modern Asian APT groups’ tactics, techniques and procedures (TTPs) Asian APT groups target various organizations from a multitude of regions and industries."
36,We created this report to provide the cybersecurity community with the best-prepared intelligence data to effectively counteract Asian APT groups.
37,"A cascade of compromise: unveiling Lazarus’ new campaign We unveil a Lazarus campaign exploiting security company products and examine its intricate connections with other campaignsHow to catch a wild triangle How Kaspersky researchers obtained all stages of the Operation Triangulation campaign targeting iPhones and iPads, including zero-day exploits, validators, TriangleDB implant and additional modules."
38,Subscribe to our weekly e-mailsThe hottest research right in your inboxEmail**I agree to provide my email address to “AO Kaspersky Lab” to receive information about new posts on the site.
39,I understand that I can withdraw this consent at any time via e-mail by clicking the “unsubscribe” link that I find at the bottom of any e-mail sent to me for the purposes mentioned above.
40,SubscribeΔ ThreatsThreatsAPT (Targeted attacks)Secure environment (IoT)Mobile threatsFinancial threatsSpam and phishingIndustrial threatsWeb threatsVulnerabilities and exploitsCategoriesCategoriesAPT reportsMalware descriptionsSecurity BulletinMalware reportsSpam and phishing reportsSecurity technologiesResearchPublicationsOther sectionsArchiveAll tagsWebinarsAPT LogbookStatisticsEncyclopediaThreats descriptionsKSB 2023 © 2024 AO Kaspersky Lab.
41,All Rights Reserved.
42,Registered trademarks and service marks are the property of their respective owners.
43,Privacy PolicyLicense AgreementCookiesSubscribe to our weekly e-mailsThe hottest research right in your inboxEmail**I agree to provide my email address to “AO Kaspersky Lab” to receive information about new posts on the site.
44,I understand that I can withdraw this consent at any time via e-mail by clicking the “unsubscribe” link that I find at the bottom of any e-mail sent to me for the purposes mentioned above.
45,SubscribeΔ
