,text
10,"By: Noel Anthony Llimos, Carl Maverick Pascual					February 12, 2019Read time:  ( words)	Save to Folio SubscribeIn November 2018, we covered a Trickbot variant that came with a password-grabbing module, which allowed it to steal credentials from numerous applications."
11,"In January 2019, we saw Trickbot (detected as TrojanSpy.Win32.TRICKBOT.AZ and Trojan.Win32.MERETAM.AD) with new capabilities added to its already extensive bag of tricks."
12,Its authors clearly aren't done updating Trickbot — we recently found a new variant that uses an updated version of the pwgrab module that lets it grab remote application credentials.
13,Infection ChainFigure 1.
14,Infection chain for the malwareTechnical AnalysisThe malware arrives via an email disguised as a tax incentive notification from a major financial services company.
15,This email includes a macro enabled (XLSM) Microsoft Excel spreadsheet attachment (detected as Trojan.W97M.MERETAM.A) that purportedly contains the details of the tax incentive.
16,"However, as these attachments usually go, this macro is malicious and will download and deploy Trickbot on the user’s machine once activated."
17,Figure 2.
18,The spam email containing the malicious macro-enabled attachment.
19,Figure 3.
20,Screenshot of the attached spreadsheet documentThis Trickbot variant is largely similar to the variant we discovered in November.
21,"However, the 2019 version adds three new functions, one each for the Virtual Network Computing (VNC), PuTTY, and Remote Desktop Protocol (RDP) platforms."
22,Figure 4.
23,Comparison of the pwgrab modules from November 2018 (top) and January 2019 (bottom).
24,Note the added functions in the code.
25,Figure 5.
26,C&C traffic with the RDP credentials being sent.
27,One of the techniques enforced by these new functions encrypts the strings it uses via simple variants of XOR or SUB routines.
28,Figure 6.
29,XOR routine (top) and SUB routine (bottom) string encryption.
30,"It also makes use of API hashes for indirect API calling, which was prominently attributed to the Carberp trojan source code leak from 2013."
31,Figure 7.
32,API hashing artifact from the Carberp Source Code.
33,"VNCTo grab VNC credentials, the pwgrab module searches for files using the “*.vnc.lnk” affix that are located in the following directories:%APPDATA%\Microsoft\Windows\Recent %USERPROFILE%\Documents, %USERPROFILE%\Downloads  The stolen information includes the target machine's hostname, port, and the proxy settings."
34,Figure 8.
35,Screenshot of how pwgrab locates “.vnc.lnk” files on the %USERPROFILE%\Downloads directory.
36,"The module will send the required data via POST, which is configured through a downloaded configuration file using the filename “dpost.” This file contains a list of command-and-control (C&C) servers that will receive the exfiltrated data from the victim."
37,Figure 9.
38,Stolen Information being exfiltrated to the C&C server.
39,"PuTTYTo retrieve the PuTTY credentials, it queries the registry key Software\SimonTatham\Putty\Sessions to identify the saved connection settings, which allows the module to retrieve information such as the Hostname and Username, and Private Key Files used for authentication."
40,Figure 10.
41,"Registry traversal for Putty data exfiltration (left), code showing hostname, username and Private Key Files (right)."
42,RDPIts third function related to RDP uses the CredEnumerateA API to identify and steal saved credentials.
43,"It then parses the string “target=TERMSRV” to identify the hostname, username, and password saved per RDP credential."
44,RecommendationsThese new additions to the already “tricky” Trickbot show one strategy that many authors use to improve the capabilities of their creations: gradual evolution of existing malware.
45,"While this new variant is not groundbreaking in terms of what it can do, it proves that the groups or individuals behind Trickbot are not resting on their laurels and continuously improve it, making an already-dangerous malware even more effective."
46,"Fortunately, users can nip these attacks in the bud simply by following the best practices against spam."
47,"This includes being aware of the main characteristics of a spam email, such as a suspicious sender address and multiple grammatical errors."
48,We also recommended that users refrain from opening email attachments unless they are sure that it is from a legitimate source.
49,"Trend Micro solutionsThe following Trend Micro solutions, powered by XGen™ security, protect systems from all types of threats, including malware such as Trickbot:Trend Micro™ SecuritySmart Protection Suites and Worry-Free™ Business SecurityTrend Micro Network Defense Indicators of Compromise (IOCs)Trickbot (Detected as TrojanSpy.Win32.TRICKBOT.AZ)374ef83de2b254c4970b830bb93a1dd79955945d24b824a0b35636e14355fe05Trickbot (Detected as Trojan.Win32.MERETAM.AD)Fcfb911e57e71174a31eae79433f12c73f72b7e6d088f2f35125cfdf10d2e1afTagsMalware|Endpoints|Research|Cyber Threats			Authors	Noel Anthony LlimosThreats AnalystCarl Maverick PascualThreats Analyst		Contact Us			Subscribe	Related Articles					Earth Lusca Uses Geopolitical Lure to Target Taiwan Before Elections									LockBit Attempts to Stay Afloat With a New Version									Earth Preta Campaign Uses DOPLUGS to Target Asia								See all articles			Try our services free for 30 days		Start your free trial today	ResourcesBlogNewsroomThreat ReportsDevOps Resource CenterCISO Resource CenterFind a PartnerSupportBusiness Support PortalContact UsDownloadsFree TrialsAbout TrendAbout UsCareersLocationsUpcoming EventsTrust CenterCountry HeadquartersTrend Micro - United States (US)225 East John Carpenter FreewaySuite 1500Irving, Texas 75062Phone: +1 (817) 569-8900Select a country / region			expand_morecloseThe AmericasUnited StatesBrasilCanadaMéxicoMiddle East & AfricaSouth AfricaMiddle East and North AfricaEuropeBelgië (Belgium)Česká RepublikaDanmarkDeutschland, Österreich SchweizEspañaFranceIrelandItaliaNederlandNorge (Norway)Polska (Poland)Suomi (Finland)Sverige (Sweden)Türkiye (Turkey)United KingdomAsia & PacificAustraliaЦентральная Азия (Central Asia)Hong Kong (English)香港 (中文) (Hong Kong) भारत गणराज्य (India)Indonesia日本 (Japan)대한민국 (South Korea)MalaysiaМонголия (Mongolia) and рузия (Georgia)New ZealandPhilippinesSingapore台灣 (Taiwan) ประเทศไทย (Thailand)Việt NamPrivacy | Legal | Accessibility | Site mapCopyright ©2024 Trend Micro Incorporated."
50,All rights reservedsXpIBdPeKzI9PC2p0SWMpUSM2NSxWzPyXTMLlbXmYa0R20xk
