,text,MB,classification,classification_conf
17,All three companies indicated that the actors wiped some systems by executing the KillDisk malware at the conclusion of the cyber-attack. ,three company indicated actor wiped system executing killdisk malware conclusion cyber attack,"['T1497', 'T1016', 'T1518', 'T1012', 'T1069']","[0.0072, 0.006, 0.0055, 0.0055, 0.0055]"
18,"The KillDisk malware erases selected files on target systems and corrupts the master boot record, rendering systems inoperable.",killdisk malware era selected file target system corrupts master boot record rendering system inoperable,"['T1027', 'T1497', 'T1546', 'T1574', 'T1140']","[0.012, 0.0055, 0.0054, 0.0053, 0.0053]"
19," It was further reported that in at least one instance, Windows-based human-machine interfaces (HMIs) embedded in remote terminal units were also overwritten with KillDisk.",wa reported least one instance window based human machine interface hmis embedded remote terminal unit also overwritten killdisk,"['T1518', 'T1562', 'T1552', 'T1207', 'T1185']","[0.0109, 0.0057, 0.0055, 0.0055, 0.0053]"
20,The actors also rendered Serial-to-Ethernet devices at substations inoperable by corrupting their firmware.,actor also rendered serial ethernet device substation inoperable corrupting firmware,"['T1480', 'T1114', 'T1083', 'T1554', 'T1082']","[0.0072, 0.0066, 0.0055, 0.0055, 0.0054]"
21,"In addition, the actors reportedly scheduled disconnects for server Uninterruptable Power Supplies (UPS) via the UPS remote management interface. ",addition actor reportedly scheduled disconnect server uninterruptable power supply ups via ups remote management interface,"['T1553', 'T1548', 'T1564', 'T1574', 'T1222']","[0.0092, 0.0063, 0.006, 0.0053, 0.0053]"
22,The malware was reportedly delivered via spear phishing emails with malicious Microsoft Office attachments. ,malware wa reportedly delivered via spear phishing email malicious microsoft office attachment,"['T1027', 'T1518', 'T1016', 'T1036', 'T1010']","[0.0072, 0.0065, 0.0061, 0.0057, 0.0054]"
23,"It is suspected that BlackEnergy may have been used as an initial access vector to acquire legitimate credentials; however, this information is still being evaluated.",suspected blackenergy may used initial access vector acquire legitimate credential however information still evaluated,"['T1036', 'T1554', 'T1222', 'T1564', 'T1553']","[0.0134, 0.0053, 0.0053, 0.0053, 0.0052]"
24,"In January 2019, we saw Trickbot (detected as TrojanSpy.Win32.TRICKBOT.AZ and Trojan.Win32.MERETAM.AD) with new capabilities added to its already extensive bag of tricks. ",january 2019 saw trickbot detected trojanspy win32 trickbot az trojan win32 meretam ad new capability added already extensive bag trick,"['T1189', 'T1559', 'T1059', 'T1505', 'T1583']","[0.0066, 0.0065, 0.0056, 0.0056, 0.0055]"
25,Its authors clearly aren't done updating Trickbot — we recently found a new variant that uses an updated version of the pwgrab module that lets it grab remote application credentials.,author clearly done updating trickbot recently found new variant us updated version pwgrab module let grab remote application credential,"['T1562', 'T1535', 'T1578', 'T1014', 'T1564']","[0.008, 0.0067, 0.006, 0.0056, 0.0054]"
26,The malware arrives via an email disguised as a tax incentive notification from a major financial services company.,malware arrives via email disguised tax incentive notification major financial service company,"['T1132', 'T1027', 'T1016', 'T1119', 'T1005']","[0.0081, 0.0066, 0.0057, 0.0054, 0.0054]"
27,This email includes a macro enabled (XLSM) Microsoft Excel spreadsheet attachment (detected as Trojan.W97M.MERETAM.A) that purportedly contains the details of the tax incentive.,email includes macro enabled xlsm microsoft excel spreadsheet attachment detected trojan w97m meretam purportedly contains detail tax incentive,"['T1553', 'T1588', 'T1587', 'T1027', 'T1056']","[0.0109, 0.0062, 0.0056, 0.0053, 0.0052]"
28,"However, as these attachments usually go, this macro is malicious and will download and deploy Trickbot on the user’s machine once activated.",however attachment usually go macro malicious download deploy trickbot user machine activated,"['T1197', 'T1204', 'T1127', 'T1559', 'T1574']","[0.0069, 0.0065, 0.0057, 0.0056, 0.0056]"
29,"However, the 2019 version adds three new functions, one each for the Virtual Network Computing (VNC), PuTTY, and Remote Desktop Protocol (RDP) platforms.",however 2019 version add three new function one virtual network computing vnc putty remote desktop protocol rdp platform,"['T1599', 'T1600', 'T1596', 'T1496', 'T1092']","[0.0068, 0.0059, 0.0057, 0.0056, 0.0054]"
30,One of the techniques enforced by these new functions encrypts the strings it uses via simple variants of XOR or SUB routines.,one technique enforced new function encrypts string us via simple variant xor sub routine,"['T1565', 'T1530', 'T1074', 'T1195', 'T1601']","[0.0129, 0.0054, 0.0053, 0.0053, 0.0052]"
31,"It also makes use of API hashes for indirect API calling, which was prominently attributed to the Carberp trojan source code leak from 2013.  ",also make use api hash indirect api calling wa prominently attributed carberp trojan source code leak 2013,"['T1552', 'T1553', 'T1003', 'T1555', 'T1056']","[0.0077, 0.0076, 0.006, 0.0056, 0.0053]"
32,"The module will send the required data via POST, which is configured through a downloaded configuration file using the filename “dpost.”",module send required data via post configured downloaded configuration file using filename dpost,"['T1587', 'T1553', 'T1588', 'T1608', 'T1564']","[0.0081, 0.0079, 0.0055, 0.0054, 0.0053]"
33,This file contains a list of command-and-control (C&C) servers that will receive the exfiltrated data from the victim.,file contains list command control c c server receive exfiltrated data victim,"['T1059', 'T1546', 'T1547', 'T1564', 'T1202']","[0.01, 0.0061, 0.0056, 0.0053, 0.0053]"
34,"To retrieve the PuTTY credentials, it queries the registry key Software\SimonTatham\Putty\Sessions to identify the saved connection settings, which allows the module to retrieve information such as the Hostname and Username, and Private Key Files used for authentication.",retrieve putty credential query registry key software simontatham putty session identify saved connection setting allows module retrieve information hostname username private key file used authentication,"['T1612', 'T1601', 'T1574', 'T1620', 'T1055']","[0.0077, 0.0073, 0.0056, 0.0053, 0.0053]"
35,Its third function related to RDP uses the CredEnumerateA API to identify and steal saved credentials. ,third function related rdp us credenumeratea api identify steal saved credential,"['T1562', 'T1553', 'T1014', 'T1578', 'T1548']","[0.0086, 0.0082, 0.0054, 0.0053, 0.0052]"
36,"It then parses the string “target=TERMSRV” to identify the hostname, username, and password saved per RDP credential.",par string target termsrv identify hostname username password saved per rdp credential,"['T1137', 'T1210', 'T1203', 'T1574', 'T1554']","[0.0126, 0.0053, 0.0053, 0.0053, 0.0053]"
